===2023-06-01 10:00:50===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
data_number=[18,27,40,58,87,127,188,276,406,442,42,61,91,134,197,290,418,67,99,146,215,316,124,182,268,158,232,266,181,]
client_nums=[10,7,5,3,2,1,1,]
domain number = -1
============ Train epoch 0 ============
 Site-Indian_Female                 | Val  Loss: 2.1391 | Val  Acc: 0.2095
 Site-Indian_Male                   | Val  Loss: 2.1429 | Val  Acc: 0.2194
 Site-Southeast_Asian_Female        | Val  Loss: 2.1354 | Val  Acc: 0.2373
 Site-Middle_Eastern_Male           | Val  Loss: 2.1503 | Val  Acc: 0.2333
Average Valid Accuracy: 0.2327
 Best site-White_Male                | Epoch:2 | Val Acc: 0.4167
 Best site-White_Female              | Epoch:2 | Val Acc: 0.3333
 Best site-White_Male                | Epoch:2 | Val Acc: 0.2308
 Best site-White_Female              | Epoch:2 | Val Acc: 0.1795
 Best site-White_Male                | Epoch:2 | Val Acc: 0.2069
 Best site-White_Female              | Epoch:2 | Val Acc: 0.3059
 Best site-White_Male                | Epoch:2 | Val Acc: 0.1920
 Best site-White_Female              | Epoch:2 | Val Acc: 0.2772
 Best site-White_Male                | Epoch:2 | Val Acc: 0.2140
 Best site-White_Female              | Epoch:2 | Val Acc: 0.2925
 Best site-Latino_Hispanic_Male      | Epoch:2 | Val Acc: 0.0357
 Best site-Latino_Hispanic_Female    | Epoch:2 | Val Acc: 0.1951
 Best site-Latino_Hispanic_Male      | Epoch:2 | Val Acc: 0.3000
 Best site-Latino_Hispanic_Female    | Epoch:2 | Val Acc: 0.2022
 Best site-Latino_Hispanic_Male      | Epoch:2 | Val Acc: 0.2443
 Best site-Latino_Hispanic_Female    | Epoch:2 | Val Acc: 0.2591
 Best site-Latino_Hispanic_Male      | Epoch:2 | Val Acc: 0.2662
 Best site-Black_Female              | Epoch:2 | Val Acc: 0.2000
 Best site-Black_Male                | Epoch:2 | Val Acc: 0.2273
 Best site-Black_Female              | Epoch:2 | Val Acc: 0.2165
 Best site-Black_Male                | Epoch:2 | Val Acc: 0.2517
 Best site-Black_Female              | Epoch:2 | Val Acc: 0.1848
 Best site-East_Asian_Male           | Epoch:2 | Val Acc: 0.1707
 Best site-East_Asian_Female         | Epoch:2 | Val Acc: 0.2562
 Best site-East_Asian_Male           | Epoch:2 | Val Acc: 0.1910
 Best site-Indian_Female             | Epoch:2 | Val Acc: 0.2095
 Best site-Indian_Male               | Epoch:2 | Val Acc: 0.2194
 Best site-Southeast_Asian_Female    | Epoch:2 | Val Acc: 0.2373
 Best site-Middle_Eastern_Male       | Epoch:2 | Val Acc: 0.2333
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.47_1_gender_cluster_-1/fedavg...
============ Train epoch 3 ============
 Site-White_Male               | Train Loss: 2.0927 | Train Acc: 0.2778
