===2023-06-16 12:57:30===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[27,39,58,86,128,188,277,407,599,881,60,89,132,194,285,235,347,270,]
client_nums=[10,5,2,1,]
len_dataset=[7712,2184,1668,775,]
domain number = -1
============ Train epoch 0 ============
 Site-White-4                       | Val  Loss: 1.5083 | Val  Acc: 0.4444
 Site-White-5                       | Val  Loss: 1.6966 | Val  Acc: 0.3077
 Site-White-6                       | Val  Loss: 1.7631 | Val  Acc: 0.3590
 Site-White-7                       | Val  Loss: 1.6781 | Val  Acc: 0.3621
 Site-White-8                       | Val  Loss: 1.6090 | Val  Acc: 0.4471
 Site-White-9                       | Val  Loss: 1.6354 | Val  Acc: 0.3520
 Site-Indian-0                      | Val  Loss: 2.0259 | Val  Acc: 0.2500
 Site-Indian-1                      | Val  Loss: 2.2436 | Val  Acc: 0.2500
 Site-Indian-2                      | Val  Loss: 1.6694 | Val  Acc: 0.4444
 Site-Indian-3                      | Val  Loss: 1.8978 | Val  Acc: 0.2593
 Site-Indian-4                      | Val  Loss: 1.7368 | Val  Acc: 0.3500
 Site-Middle_Eastern-0              | Val  Loss: 1.7826 | Val  Acc: 0.3333
 Site-Middle_Eastern-1              | Val  Loss: 1.6746 | Val  Acc: 0.4286
 Site-Black_utk-0                   | Val  Loss: 1.8249 | Val  Acc: 0.2895
Average Valid Accuracy: 0.3464
 Best site-White-0                   | Epoch:4 | Val Acc: 0.3333
 Best site-White-1                   | Epoch:4 | Val Acc: 0.4000
 Best site-White-2                   | Epoch:4 | Val Acc: 0.3750
 Best site-White-3                   | Epoch:4 | Val Acc: 0.2500
 Best site-White-4                   | Epoch:4 | Val Acc: 0.4444
 Best site-White-5                   | Epoch:4 | Val Acc: 0.3077
 Best site-White-6                   | Epoch:4 | Val Acc: 0.3590
 Best site-White-7                   | Epoch:4 | Val Acc: 0.3621
 Best site-White-8                   | Epoch:4 | Val Acc: 0.4471
 Best site-White-9                   | Epoch:4 | Val Acc: 0.3520
 Best site-Indian-0                  | Epoch:4 | Val Acc: 0.2500
 Best site-Indian-1                  | Epoch:4 | Val Acc: 0.2500
 Best site-Indian-2                  | Epoch:4 | Val Acc: 0.4444
 Best site-Indian-3                  | Epoch:4 | Val Acc: 0.2593
 Best site-Indian-4                  | Epoch:4 | Val Acc: 0.3500
 Best site-Middle_Eastern-0          | Epoch:4 | Val Acc: 0.3333
 Best site-Middle_Eastern-1          | Epoch:4 | Val Acc: 0.4286
 Best site-Black_utk-0               | Epoch:4 | Val Acc: 0.2895
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_2.15_1_random_dis_cluster_-1_weak_white_split/CoCoOP...
============ Train epoch 5 ============
 Site-White-0                       | Train Loss: 1.6681 | Train Acc: 0.4074
 Site-White-1                       | Train Loss: 1.5377 | Train Acc: 0.4615
 Site-White-2                       | Train Loss: 1.5919 | Train Acc: 0.3448
 Site-White-3                       | Train Loss: 1.5311 | Train Acc: 0.4186
 Site-White-4                       | Train Loss: 1.5686 | Train Acc: 0.3594
 Site-White-5                       | Train Loss: 1.5779 | Train Acc: 0.4043
 Site-White-6                       | Train Loss: 1.4736 | Train Acc: 0.4513
 Site-White-7                       | Train Loss: 1.4353 | Train Acc: 0.4668
 Site-White-8                       | Train Loss: 1.4944 | Train Acc: 0.4441
 Site-White-9                       | Train Loss: 1.4761 | Train Acc: 0.4177
 Site-Indian-0                      | Train Loss: 1.5973 | Train Acc: 0.3833
 Site-Indian-1                      | Train Loss: 1.6876 | Train Acc: 0.4045
 Site-Indian-2                      | Train Loss: 1.6029 | Train Acc: 0.2955
 Site-Indian-3                      | Train Loss: 1.5516 | Train Acc: 0.3351
 Site-Indian-4                      | Train Loss: 1.6640 | Train Acc: 0.3895
 Site-Middle_Eastern-0              | Train Loss: 1.6142 | Train Acc: 0.3787
 Site-Middle_Eastern-1              | Train Loss: 1.6518 | Train Acc: 0.3602
 Site-Black_utk-0                   | Train Loss: 1.7730 | Train Acc: 0.3259
Average Train Accuracy: 0.3916
 Site-White-0                       | Val  Loss: 1.7588 | Val  Acc: 0.3333
 Site-White-1                       | Val  Loss: 1.6439 | Val  Acc: 0.2000
 Site-White-2                       | Val  Loss: 1.3646 | Val  Acc: 0.5000
 Site-White-3                       | Val  Loss: 1.7024 | Val  Acc: 0.3333
 Site-White-4                       | Val  Loss: 1.3589 | Val  Acc: 0.5556
 Site-White-5                       | Val  Loss: 1.6101 | Val  Acc: 0.3077
 Site-White-6                       | Val  Loss: 1.7434 | Val  Acc: 0.2821
 Site-White-7                       | Val  Loss: 1.7064 | Val  Acc: 0.3793
 Site-White-8                       | Val  Loss: 1.5363 | Val  Acc: 0.4588
 Site-White-9                       | Val  Loss: 1.5920 | Val  Acc: 0.3680
 Site-Indian-0                      | Val  Loss: 1.9727 | Val  Acc: 0.2500
 Site-Indian-1                      | Val  Loss: 2.1195 | Val  Acc: 0.2500
 Site-Indian-2                      | Val  Loss: 1.8199 | Val  Acc: 0.3333
 Site-Indian-3                      | Val  Loss: 1.8295 | Val  Acc: 0.3704
 Site-Indian-4                      | Val  Loss: 1.6253 | Val  Acc: 0.3750
