===2023-08-04 09:25:53===
===Setting===
    dataset: modern
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[28,37,47,61,79,103,133,172,222,287,24,37,55,83,124,50,100,69,
client_nums=[10,5,2,1,]
len_dataset=[1959,544,251,116,]
domain number = 4
============ Train epoch 0 ============
 Best site-amazon                    | Epoch:3 | Val Acc: 0.7801
 Best site-webcam                    | Epoch:3 | Val Acc: 0.4375
 Best site-webcam                    | Epoch:3 | Val Acc: 0.7083
 Best site-webcam                    | Epoch:3 | Val Acc: 0.8108
 Best site-webcam                    | Epoch:3 | Val Acc: 0.7455
 Best site-webcam                    | Epoch:3 | Val Acc: 0.7683
 Best site-dslr                      | Epoch:3 | Val Acc: 0.6970
 Best site-dslr                      | Epoch:3 | Val Acc: 0.7273
 Best site-synthetic                 | Epoch:3 | Val Acc: 0.2609
 Saving the local and server checkpoint to ../checkpoint/fed_modern_uneven_2.16_1/fedmix...
============ Train epoch 4 ============
 Site-amazon                        | Train Loss: 2.9959 | Train Acc: 0.7143
 Site-amazon                        | Train Loss: 2.9401 | Train Acc: 0.8919
 Site-amazon                        | Train Loss: 2.9429 | Train Acc: 0.8723
 Site-amazon                        | Train Loss: 2.9329 | Train Acc: 0.8525
 Site-amazon                        | Train Loss: 2.9109 | Train Acc: 0.8354
 Site-amazon                        | Train Loss: 2.9215 | Train Acc: 0.8738
 Site-amazon                        | Train Loss: 2.9873 | Train Acc: 0.8195
 Site-amazon                        | Train Loss: 2.9286 | Train Acc: 0.8605
 Site-amazon                        | Train Loss: 2.9245 | Train Acc: 0.8468
 Site-amazon                        | Train Loss: 2.9341 | Train Acc: 0.8571
 Site-webcam                        | Train Loss: 3.0188 | Train Acc: 0.7500
 Site-webcam                        | Train Loss: 3.0331 | Train Acc: 0.7297
 Site-webcam                        | Train Loss: 2.9942 | Train Acc: 0.7273
 Site-webcam                        | Train Loss: 2.9666 | Train Acc: 0.8193
 Site-webcam                        | Train Loss: 3.0117 | Train Acc: 0.7823
 Site-dslr                          | Train Loss: 3.0466 | Train Acc: 0.8000
 Site-dslr                          | Train Loss: 2.9718 | Train Acc: 0.8300
 Site-synthetic                     | Train Loss: 3.3100 | Train Acc: 0.3478
Average Train Accuracy: 0.7895
 Site-amazon                        | Val  Loss: 2.8530 | Val  Acc: 1.0000
 Site-amazon                        | Val  Loss: 2.8921 | Val  Acc: 0.8333
 Site-amazon                        | Val  Loss: 2.9494 | Val  Acc: 0.8065
 Site-amazon                        | Val  Loss: 2.9750 | Val  Acc: 0.7561
 Site-amazon                        | Val  Loss: 2.9539 | Val  Acc: 0.9057
 Site-amazon                        | Val  Loss: 2.8952 | Val  Acc: 0.8529
 Site-amazon                        | Val  Loss: 2.9269 | Val  Acc: 0.8523
 Site-amazon                        | Val  Loss: 2.9415 | Val  Acc: 0.8246
 Site-amazon                        | Val  Loss: 2.9349 | Val  Acc: 0.8446
