===2023-08-03 21:55:51===
===Setting===
    dataset: modern
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[20,26,34,44,57,73,95,123,159,205,18,32,57,101,180,13,131,67,
client_nums=[10,5,2,1,]
len_dataset=[1403,649,243,112,]
domain number = 4
============ Train epoch 0 ============
 Best site-amazon                    | Epoch:4 | Val Acc: 0.9655
 Best site-amazon                    | Epoch:4 | Val Acc: 1.0000
 Best site-amazon                    | Epoch:4 | Val Acc: 0.8980
 Best site-amazon                    | Epoch:4 | Val Acc: 0.9524
 Best site-amazon                    | Epoch:4 | Val Acc: 0.9512
 Best site-amazon                    | Epoch:4 | Val Acc: 0.9434
 Best site-amazon                    | Epoch:4 | Val Acc: 0.8978
 Best site-synthetic                 | Epoch:4 | Val Acc: 0.4167
 Best site-synthetic                 | Epoch:4 | Val Acc: 0.3333
 Best site-synthetic                 | Epoch:4 | Val Acc: 0.5946
 Best site-synthetic                 | Epoch:4 | Val Acc: 0.5970
 Best site-synthetic                 | Epoch:4 | Val Acc: 0.6250
 Best site-dslr                      | Epoch:4 | Val Acc: 1.0000
 Best site-dslr                      | Epoch:4 | Val Acc: 0.9205
 Best site-webcam                    | Epoch:4 | Val Acc: 0.8409
 Saving the local and server checkpoint to ../checkpoint/fed_modern_uneven_2.16_1/harmo-fl...
============ Train epoch 5 ============
 Site-amazon                        | Train Loss: 0.4585 | Train Acc: 0.9500
 Site-amazon                        | Train Loss: 0.6077 | Train Acc: 0.9231
 Site-amazon                        | Train Loss: 0.7782 | Train Acc: 0.9118
 Site-amazon                        | Train Loss: 0.6531 | Train Acc: 0.8864
 Site-amazon                        | Train Loss: 0.6128 | Train Acc: 0.9474
 Site-amazon                        | Train Loss: 0.6645 | Train Acc: 0.8904
 Site-amazon                        | Train Loss: 0.6763 | Train Acc: 0.9368
 Site-amazon                        | Train Loss: 0.6377 | Train Acc: 0.9187
 Site-amazon                        | Train Loss: 0.4927 | Train Acc: 0.9748
 Site-amazon                        | Train Loss: 0.4443 | Train Acc: 0.9707
 Site-synthetic                     | Train Loss: 1.8608 | Train Acc: 0.6111
 Site-synthetic                     | Train Loss: 1.9991 | Train Acc: 0.5000
 Site-synthetic                     | Train Loss: 1.9455 | Train Acc: 0.5789
 Site-synthetic                     | Train Loss: 1.7860 | Train Acc: 0.5743
 Site-synthetic                     | Train Loss: 1.7685 | Train Acc: 0.5944
 Site-dslr                          | Train Loss: 0.8981 | Train Acc: 0.7692
 Site-dslr                          | Train Loss: 0.9489 | Train Acc: 0.9160
