===2023-08-04 15:28:11===
===Setting===
    dataset: modern
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[28,37,47,61,79,103,133,172,222,287,24,37,55,83,124,50,100,69,
client_nums=[10,5,2,1,]
len_dataset=[1959,544,251,116,]
domain number = 4
============ Train epoch 0 ============
 Saving the local and server checkpoint to ../checkpoint/fed_modern_uneven_2.16_1/term...
============ Train epoch 4 ============
 Site-amazon                        | Train Loss: 2.9618 | Train Acc: 0.8929
 Site-amazon                        | Train Loss: 2.9262 | Train Acc: 0.8919
 Site-amazon                        | Train Loss: 2.9244 | Train Acc: 0.8723
 Site-amazon                        | Train Loss: 2.9403 | Train Acc: 0.8361
 Site-amazon                        | Train Loss: 2.9091 | Train Acc: 0.8101
 Site-amazon                        | Train Loss: 2.9175 | Train Acc: 0.8544
 Site-amazon                        | Train Loss: 2.9309 | Train Acc: 0.7744
 Site-amazon                        | Train Loss: 2.9505 | Train Acc: 0.8488
 Site-amazon                        | Train Loss: 2.9348 | Train Acc: 0.8604
 Site-amazon                        | Train Loss: 2.9411 | Train Acc: 0.8467
 Site-webcam                        | Train Loss: 3.0173 | Train Acc: 0.7083
 Site-webcam                        | Train Loss: 3.0254 | Train Acc: 0.7297
 Site-webcam                        | Train Loss: 2.9949 | Train Acc: 0.7273
 Site-webcam                        | Train Loss: 2.9703 | Train Acc: 0.8434
 Site-webcam                        | Train Loss: 3.0229 | Train Acc: 0.7661
 Site-dslr                          | Train Loss: 3.0642 | Train Acc: 0.8200
 Site-dslr                          | Train Loss: 2.9908 | Train Acc: 0.8100
 Site-synthetic                     | Train Loss: 3.2299 | Train Acc: 0.2899
Average Train Accuracy: 0.7879
 Site-amazon                        | Val  Loss: 2.8731 | Val  Acc: 0.9474
 Site-amazon                        | Val  Loss: 2.9005 | Val  Acc: 0.9583
 Site-amazon                        | Val  Loss: 2.9482 | Val  Acc: 0.7419
 Site-amazon                        | Val  Loss: 2.9773 | Val  Acc: 0.8293
 Site-amazon                        | Val  Loss: 2.9729 | Val  Acc: 0.8491
 Site-amazon                        | Val  Loss: 2.8687 | Val  Acc: 0.9118
 Site-amazon                        | Val  Loss: 2.9245 | Val  Acc: 0.8977
 Site-amazon                        | Val  Loss: 2.9507 | Val  Acc: 0.8070
 Site-amazon                        | Val  Loss: 2.9434 | Val  Acc: 0.8176
 Site-amazon                        | Val  Loss: 2.9298 | Val  Acc: 0.8534
 Site-webcam                        | Val  Loss: 3.0490 | Val  Acc: 0.6875
 Site-webcam                        | Val  Loss: 3.0293 | Val  Acc: 0.8333
 Site-webcam                        | Val  Loss: 3.0151 | Val  Acc: 0.8108
 Site-webcam                        | Val  Loss: 3.0079 | Val  Acc: 0.8545
 Site-webcam                        | Val  Loss: 2.9722 | Val  Acc: 0.8659
 Site-dslr                          | Val  Loss: 2.9705 | Val  Acc: 0.8788
 Site-dslr                          | Val  Loss: 2.9884 | Val  Acc: 0.7727
 Site-synthetic                     | Val  Loss: 3.2211 | Val  Acc: 0.3478
Average Valid Accuracy: 0.8147
 Best site-amazon                    | Epoch:4 | Val Acc: 0.9474
 Best site-amazon                    | Epoch:4 | Val Acc: 0.9583
 Best site-amazon                    | Epoch:4 | Val Acc: 0.7419
 Best site-amazon                    | Epoch:4 | Val Acc: 0.8293
 Best site-amazon                    | Epoch:4 | Val Acc: 0.8491
 Best site-amazon                    | Epoch:4 | Val Acc: 0.9118
 Best site-amazon                    | Epoch:4 | Val Acc: 0.8977
 Best site-amazon                    | Epoch:4 | Val Acc: 0.8070
 Best site-amazon                    | Epoch:4 | Val Acc: 0.8176
 Best site-amazon                    | Epoch:4 | Val Acc: 0.8534
 Best site-webcam                    | Epoch:4 | Val Acc: 0.6875
 Best site-webcam                    | Epoch:4 | Val Acc: 0.8333
 Best site-webcam                    | Epoch:4 | Val Acc: 0.8108
 Best site-webcam                    | Epoch:4 | Val Acc: 0.8545
 Best site-webcam                    | Epoch:4 | Val Acc: 0.8659
 Best site-dslr                      | Epoch:4 | Val Acc: 0.8788
 Best site-dslr                      | Epoch:4 | Val Acc: 0.7727
 Best site-synthetic                 | Epoch:4 | Val Acc: 0.3478
 Saving the local and server checkpoint to ../checkpoint/fed_modern_uneven_2.16_1/term...
============ Train epoch 5 ============
 Site-amazon                        | Train Loss: 2.9024 | Train Acc: 0.7857
 Site-amazon                        | Train Loss: 2.8279 | Train Acc: 0.9189
 Site-amazon                        | Train Loss: 2.8294 | Train Acc: 0.8511
 Site-amazon                        | Train Loss: 2.8435 | Train Acc: 0.8361
 Site-amazon                        | Train Loss: 2.8381 | Train Acc: 0.8734
 Site-amazon                        | Train Loss: 2.8180 | Train Acc: 0.8641
 Site-amazon                        | Train Loss: 2.8550 | Train Acc: 0.8647
 Site-amazon                        | Train Loss: 2.8501 | Train Acc: 0.8547
 Site-amazon                        | Train Loss: 2.8337 | Train Acc: 0.8874
 Site-amazon                        | Train Loss: 2.8371 | Train Acc: 0.8676
 Site-webcam                        | Train Loss: 2.9244 | Train Acc: 0.7500
 Site-webcam                        | Train Loss: 2.9774 | Train Acc: 0.6486
 Site-webcam                        | Train Loss: 2.9153 | Train Acc: 0.7091
 Site-webcam                        | Train Loss: 2.8756 | Train Acc: 0.8916
 Site-webcam                        | Train Loss: 2.9323 | Train Acc: 0.8145
 Site-dslr                          | Train Loss: 3.0008 | Train Acc: 0.7800
 Site-dslr                          | Train Loss: 2.9046 | Train Acc: 0.8100
 Site-synthetic                     | Train Loss: 3.1141 | Train Acc: 0.3768
Average Train Accuracy: 0.7991
 Site-amazon                        | Val  Loss: 2.7651 | Val  Acc: 1.0000
 Site-amazon                        | Val  Loss: 2.7872 | Val  Acc: 0.8750
 Site-amazon                        | Val  Loss: 2.8550 | Val  Acc: 0.7742
 Site-amazon                        | Val  Loss: 2.8837 | Val  Acc: 0.8293
 Site-amazon                        | Val  Loss: 2.8643 | Val  Acc: 0.9057
 Site-amazon                        | Val  Loss: 2.7658 | Val  Acc: 0.9412
 Site-amazon                        | Val  Loss: 2.8325 | Val  Acc: 0.8409
