===2023-05-24 11:46:06===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[198,259,340,446,360,222,291,382,457,264,346,448,352,462,268,352,474,330,]
client_nums=[5,4,3,2,2,1,1,]
domain number = -1
============ Train epoch 0 ============
 Site-White_Female                  | Val  Loss: 1.9680 | Val  Acc: 0.3670
 Site-White_Male                    | Val  Loss: 2.0443 | Val  Acc: 0.2583
 Site-Latino_Hispanic_Female        | Val  Loss: 1.9791 | Val  Acc: 0.2838
 Site-Latino_Hispanic_Male          | Val  Loss: 2.0445 | Val  Acc: 0.2474
 Site-Latino_Hispanic_Female        | Val  Loss: 2.0085 | Val  Acc: 0.2795
 Site-Latino_Hispanic_Male          | Val  Loss: 2.0548 | Val  Acc: 0.2204
 Site-Black_Female                  | Val  Loss: 2.0460 | Val  Acc: 0.2614
 Site-Black_Male                    | Val  Loss: 2.0443 | Val  Acc: 0.2424
 Site-Black_Female                  | Val  Loss: 2.0267 | Val  Acc: 0.2785
 Site-East_Asian_Male               | Val  Loss: 1.9968 | Val  Acc: 0.3376
 Site-East_Asian_Female             | Val  Loss: 1.9058 | Val  Acc: 0.4675
 Site-Indian_Male                   | Val  Loss: 2.0714 | Val  Acc: 0.2179
 Site-Indian_Female                 | Val  Loss: 2.0449 | Val  Acc: 0.2949
 Site-Southeast_Asian_Male          | Val  Loss: 2.0496 | Val  Acc: 0.2753
 Site-Middle_Eastern_Female         | Val  Loss: 1.9763 | Val  Acc: 0.3682
Average Valid Accuracy: 0.2951
 Best site-White_Male                | Epoch:5 | Val Acc: 0.3030
 Best site-White_Female              | Epoch:5 | Val Acc: 0.3699
 Best site-White_Male                | Epoch:5 | Val Acc: 0.2379
 Best site-White_Female              | Epoch:5 | Val Acc: 0.3670
 Best site-White_Male                | Epoch:5 | Val Acc: 0.2583
 Best site-Latino_Hispanic_Female    | Epoch:5 | Val Acc: 0.2838
 Best site-Latino_Hispanic_Male      | Epoch:5 | Val Acc: 0.2474
 Best site-Latino_Hispanic_Female    | Epoch:5 | Val Acc: 0.2795
 Best site-Latino_Hispanic_Male      | Epoch:5 | Val Acc: 0.2204
 Best site-Black_Female              | Epoch:5 | Val Acc: 0.2614
 Best site-Black_Male                | Epoch:5 | Val Acc: 0.2424
 Best site-Black_Female              | Epoch:5 | Val Acc: 0.2785
 Best site-East_Asian_Male           | Epoch:5 | Val Acc: 0.3376
 Best site-East_Asian_Female         | Epoch:5 | Val Acc: 0.4675
 Best site-Indian_Male               | Epoch:5 | Val Acc: 0.2179
 Best site-Indian_Female             | Epoch:5 | Val Acc: 0.2949
 Best site-Southeast_Asian_Male      | Epoch:5 | Val Acc: 0.2753
 Best site-Middle_Eastern_Female     | Epoch:5 | Val Acc: 0.3682
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_gender_cluster_-1/fedavg...
============ Train epoch 6 ============
 Site-White_Male               | Train Loss: 2.0472 | Train Acc: 0.2677
 Site-White_Female             | Train Loss: 1.9198 | Train Acc: 0.3745
 Site-White_Male               | Train Loss: 2.0342 | Train Acc: 0.2500
 Site-White_Female             | Train Loss: 1.9360 | Train Acc: 0.3789
 Site-White_Male               | Train Loss: 2.0267 | Train Acc: 0.2361
 Site-Latino_Hispanic_Female   | Train Loss: 1.9927 | Train Acc: 0.2928
 Site-Latino_Hispanic_Male     | Train Loss: 2.0323 | Train Acc: 0.2165
 Site-Latino_Hispanic_Female   | Train Loss: 2.0044 | Train Acc: 0.2775
 Site-Latino_Hispanic_Male     | Train Loss: 2.0156 | Train Acc: 0.2495
