===2023-05-24 04:44:01===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[198,259,340,446,360,222,291,382,457,264,346,448,352,462,268,352,474,330,]
client_nums=[5,4,3,2,2,1,1,]
domain number = -1
============ Train epoch 0 ============
 Site-Black_Female                  | Val  Loss: 1.7820 | Val  Acc: 0.3490
 Site-East_Asian_Male               | Val  Loss: 1.6885 | Val  Acc: 0.3547
 Site-East_Asian_Female             | Val  Loss: 1.5710 | Val  Acc: 0.4935
 Site-Indian_Male                   | Val  Loss: 1.7965 | Val  Acc: 0.2849
 Site-Indian_Female                 | Val  Loss: 1.8586 | Val  Acc: 0.3162
 Site-Southeast_Asian_Male          | Val  Loss: 1.8245 | Val  Acc: 0.3418
 Site-Middle_Eastern_Female         | Val  Loss: 1.7368 | Val  Acc: 0.4000
Average Valid Accuracy: 0.3244
 Best site-White_Male                | Epoch:6 | Val Acc: 0.3106
 Best site-White_Female              | Epoch:6 | Val Acc: 0.3988
 Best site-White_Male                | Epoch:6 | Val Acc: 0.2819
 Best site-White_Female              | Epoch:6 | Val Acc: 0.3805
 Best site-White_Male                | Epoch:6 | Val Acc: 0.2833
 Best site-Latino_Hispanic_Female    | Epoch:6 | Val Acc: 0.3176
 Best site-Latino_Hispanic_Male      | Epoch:6 | Val Acc: 0.2577
