===2023-08-17 02:56:10===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 02:56:12===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 04:17:47===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
data_number=[18,23,30,38,50,64,83,107,139,180,15,28,49,88,157,14,142,72,
client_nums=[10,5,2,1,]
len_dataset=[1227,568,262,121,]
domain number = 4
============ Train epoch 0 ============
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 0.9796
 Best site-photo                     | Epoch:6 | Val Acc: 0.9659
 Best site-photo                     | Epoch:6 | Val Acc: 0.9936
 Best site-sketch                    | Epoch:6 | Val Acc: 0.2857
 Best site-sketch                    | Epoch:6 | Val Acc: 0.3732
 Best site-cartoon                   | Epoch:6 | Val Acc: 0.5000
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/term...
============ Train epoch 7 ============
 Site-art_painting                  | Train Loss: 1.4192 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 1.5261 | Train Acc: 0.6522
 Site-art_painting                  | Train Loss: 1.4692 | Train Acc: 0.7000
 Site-art_painting                  | Train Loss: 1.2984 | Train Acc: 0.8947
 Site-art_painting                  | Train Loss: 1.5466 | Train Acc: 0.6400
 Site-art_painting                  | Train Loss: 1.3338 | Train Acc: 0.8594
 Site-art_painting                  | Train Loss: 1.4568 | Train Acc: 0.7831
 Site-art_painting                  | Train Loss: 1.4286 | Train Acc: 0.7944
 Site-art_painting                  | Train Loss: 1.4064 | Train Acc: 0.7554
 Site-art_painting                  | Train Loss: 1.4267 | Train Acc: 0.7667
 Site-photo                         | Train Loss: 1.2103 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.2768 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.2658 | Train Acc: 0.9796
 Site-photo                         | Train Loss: 1.2850 | Train Acc: 0.9545
 Site-photo                         | Train Loss: 1.2176 | Train Acc: 0.9936
 Site-sketch                        | Train Loss: 1.7538 | Train Acc: 0.2857
 Site-sketch                        | Train Loss: 1.7710 | Train Acc: 0.3873
 Site-cartoon                       | Train Loss: 1.6968 | Train Acc: 0.4861
Average Train Accuracy: 0.7648
 Best site-art_painting              | Epoch:7 | Val Acc: 0.8333
 Best site-art_painting              | Epoch:7 | Val Acc: 0.6522
 Best site-art_painting              | Epoch:7 | Val Acc: 0.7000
 Best site-art_painting              | Epoch:7 | Val Acc: 0.8947
 Best site-art_painting              | Epoch:7 | Val Acc: 0.6400
 Best site-art_painting              | Epoch:7 | Val Acc: 0.8594
 Best site-art_painting              | Epoch:7 | Val Acc: 0.7831
 Best site-art_painting              | Epoch:7 | Val Acc: 0.7944
 Best site-art_painting              | Epoch:7 | Val Acc: 0.7554
 Best site-art_painting              | Epoch:7 | Val Acc: 0.7667
 Best site-photo                     | Epoch:7 | Val Acc: 1.0000
 Best site-photo                     | Epoch:7 | Val Acc: 1.0000
 Best site-photo                     | Epoch:7 | Val Acc: 0.9796
 Best site-photo                     | Epoch:7 | Val Acc: 0.9545
 Best site-photo                     | Epoch:7 | Val Acc: 0.9936
 Best site-sketch                    | Epoch:7 | Val Acc: 0.2857
 Best site-sketch                    | Epoch:7 | Val Acc: 0.3873
 Best site-cartoon                   | Epoch:7 | Val Acc: 0.4861
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/term...
============ Train epoch 8 ============
 Site-art_painting                  | Train Loss: 1.4130 | Train Acc: 0.7778
 Site-art_painting                  | Train Loss: 1.5012 | Train Acc: 0.6087
