===2023-08-17 02:56:18===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 02:56:20===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 05:52:08===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
data_number=[18,23,30,38,50,64,83,107,139,180,15,28,49,88,157,14,142,72,
client_nums=[10,5,2,1,]
len_dataset=[1227,568,262,121,]
domain number = 4
============ Train epoch 0 ============
 Site-art_painting                  | Train Loss: 0.4672 | Train Acc: 0.8800
 Site-art_painting                  | Train Loss: 0.3175 | Train Acc: 0.9375
 Site-art_painting                  | Train Loss: 0.3601 | Train Acc: 0.9277
 Site-art_painting                  | Train Loss: 0.2811 | Train Acc: 0.9439
 Site-art_painting                  | Train Loss: 0.3115 | Train Acc: 0.9209
 Site-art_painting                  | Train Loss: 0.3532 | Train Acc: 0.9278
 Site-photo                         | Train Loss: 0.0195 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0609 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0793 | Train Acc: 0.9796
 Site-photo                         | Train Loss: 0.1291 | Train Acc: 0.9659
 Site-photo                         | Train Loss: 0.0318 | Train Acc: 1.0000
 Site-sketch                        | Train Loss: 0.9413 | Train Acc: 0.7143
 Site-sketch                        | Train Loss: 1.1321 | Train Acc: 0.5493
 Site-cartoon                       | Train Loss: 1.0293 | Train Acc: 0.6667
Average Train Accuracy: 0.8815
============ Train epoch 8 ============
 Site-art_painting                  | Train Loss: 0.4716 | Train Acc: 0.8889
 Site-art_painting                  | Train Loss: 0.6799 | Train Acc: 0.7391
 Site-art_painting                  | Train Loss: 0.4834 | Train Acc: 0.9000
 Site-art_painting                  | Train Loss: 0.2679 | Train Acc: 0.8684
 Site-art_painting                  | Train Loss: 0.4982 | Train Acc: 0.8200
 Site-art_painting                  | Train Loss: 0.2681 | Train Acc: 0.9375
 Site-art_painting                  | Train Loss: 0.3505 | Train Acc: 0.8916
 Site-art_painting                  | Train Loss: 0.3414 | Train Acc: 0.8972
