===2023-06-29 14:14:31===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-USPS                          | Val  Loss: 2.3000 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.2237 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.1389 | Val  Acc: 0.2222
 Site-USPS                          | Val  Loss: 2.1650 | Val  Acc: 0.2353
 Site-USPS                          | Val  Loss: 2.1178 | Val  Acc: 0.3226
 Site-USPS                          | Val  Loss: 2.0883 | Val  Acc: 0.3929
 Site-USPS                          | Val  Loss: 2.0633 | Val  Acc: 0.4706
 Site-USPS                          | Val  Loss: 2.1012 | Val  Acc: 0.4262
 Site-USPS                          | Val  Loss: 2.0988 | Val  Acc: 0.4290
 Site-MNIST                         | Val  Loss: 2.1864 | Val  Acc: 0.2000
 Site-MNIST                         | Val  Loss: 2.1723 | Val  Acc: 0.2778
 Site-MNIST                         | Val  Loss: 2.1579 | Val  Acc: 0.3750
 Site-MNIST                         | Val  Loss: 2.1702 | Val  Acc: 0.3621
 Site-MNIST                         | Val  Loss: 2.1619 | Val  Acc: 0.3810
 Site-MNIST                         | Val  Loss: 2.1625 | Val  Acc: 0.3545
 Site-SynthDigits                   | Val  Loss: 2.2922 | Val  Acc: 0.1892
 Site-SynthDigits                   | Val  Loss: 2.3179 | Val  Acc: 0.2500
 Site-SynthDigits                   | Val  Loss: 2.2729 | Val  Acc: 0.1885
 Site-SVHN                          | Val  Loss: 2.2938 | Val  Acc: 0.1333
 Site-SVHN                          | Val  Loss: 2.2879 | Val  Acc: 0.0864
 Site-MNIST_M                       | Val  Loss: 2.2957 | Val  Acc: 0.1857
Average Valid Accuracy: 0.2492
 Best site-USPS                      | Epoch:4 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:4 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:4 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:4 | Val Acc: 0.2222
 Best site-USPS                      | Epoch:4 | Val Acc: 0.2353
 Best site-USPS                      | Epoch:4 | Val Acc: 0.3226
 Best site-USPS                      | Epoch:4 | Val Acc: 0.3929
 Best site-USPS                      | Epoch:4 | Val Acc: 0.4706
 Best site-USPS                      | Epoch:4 | Val Acc: 0.4262
 Best site-USPS                      | Epoch:4 | Val Acc: 0.4290
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.2000
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.2778
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.3750
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.3621
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.3810
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.3545
 Best site-SynthDigits               | Epoch:4 | Val Acc: 0.1892
 Best site-SynthDigits               | Epoch:4 | Val Acc: 0.2500
 Best site-SynthDigits               | Epoch:4 | Val Acc: 0.1885
 Best site-SVHN                      | Epoch:4 | Val Acc: 0.1333
 Best site-SVHN                      | Epoch:4 | Val Acc: 0.0864
 Best site-MNIST_M                   | Epoch:4 | Val Acc: 0.1857
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/gifair...
============ Train epoch 5 ============
 Site-USPS                          | Train Loss: 1.9688 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.0047 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.1041 | Train Acc: 0.3810
 Site-USPS                          | Train Loss: 2.0665 | Train Acc: 0.4474
 Site-USPS                          | Train Loss: 2.0509 | Train Acc: 0.4857
 Site-USPS                          | Train Loss: 2.0378 | Train Acc: 0.4841
 Site-USPS                          | Train Loss: 2.0465 | Train Acc: 0.4537
 Site-USPS                          | Train Loss: 2.0591 | Train Acc: 0.4425
 Site-USPS                          | Train Loss: 2.0394 | Train Acc: 0.4660
 Site-USPS                          | Train Loss: 2.0305 | Train Acc: 0.4815
 Site-MNIST                         | Train Loss: 2.1697 | Train Acc: 0.3000
 Site-MNIST                         | Train Loss: 2.1431 | Train Acc: 0.5000
 Site-MNIST                         | Train Loss: 2.1434 | Train Acc: 0.3178
 Site-MNIST                         | Train Loss: 2.1317 | Train Acc: 0.3734
 Site-MNIST                         | Train Loss: 2.1596 | Train Acc: 0.3190
 Site-MNIST                         | Train Loss: 2.1553 | Train Acc: 0.3108
 Site-SynthDigits                   | Train Loss: 2.2707 | Train Acc: 0.1656
 Site-SynthDigits                   | Train Loss: 2.2752 | Train Acc: 0.1832
 Site-SynthDigits                   | Train Loss: 2.2650 | Train Acc: 0.2138
 Site-SVHN                          | Train Loss: 2.2820 | Train Acc: 0.1271
 Site-SVHN                          | Train Loss: 2.2719 | Train Acc: 0.1621
 Site-MNIST_M                       | Train Loss: 2.2893 | Train Acc: 0.1525
Average Train Accuracy: 0.3531
 Site-USPS                          | Val  Loss: 2.4223 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.3033 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.2119 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.1094 | Val  Acc: 0.2222
 Site-USPS                          | Val  Loss: 2.1341 | Val  Acc: 0.2353
 Site-USPS                          | Val  Loss: 2.0821 | Val  Acc: 0.3226
 Site-USPS                          | Val  Loss: 2.0489 | Val  Acc: 0.3929
 Site-USPS                          | Val  Loss: 2.0222 | Val  Acc: 0.4608
 Site-USPS                          | Val  Loss: 2.0653 | Val  Acc: 0.4262
 Site-USPS                          | Val  Loss: 2.0624 | Val  Acc: 0.4320
 Site-MNIST                         | Val  Loss: 2.1695 | Val  Acc: 0.2000
 Site-MNIST                         | Val  Loss: 2.1512 | Val  Acc: 0.2778
 Site-MNIST                         | Val  Loss: 2.1328 | Val  Acc: 0.4062
 Site-MNIST                         | Val  Loss: 2.1459 | Val  Acc: 0.3966
